Cluster,Cluster Name,Task
24,Visual Design Techniques,"{'3d modelling, 2d drawings, client meetings and site visits'}"
30,Client Engagement Activities,"{'3d modelling, 2d drawings, client meetings and site visits', 'Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed.', 'Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization.'}"
1,Scheduling Preparation Activities,{'1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team.'}
26,Progress Evaluation,{'1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team.'}
32,Assistance and Guidance Cluster,"{'1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team.', 'Teaching Art as a subject and beyond', 'Overall Product Ownership, Support, Configuration, Troubleshooting  and sales of both Hardware and SAAS products.', 'Help students pass exams'}"
8,Technical Operations Coordination,"{'Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI', 'Assisting doctor, handling patients, technical operations, overall flow of the wellness center', 'Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals', '1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team.', 'Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization.'}"
12,Retail Operations Cluster,"{'To run the department of Orthopedic surgery', 'Manage All processes of manufacturing and retail units.'}"
10,Orthopedic Care Team,"{'To run the department of Orthopedic surgery', 'Assisting doctor, handling patients, technical operations, overall flow of the wellness center'}"
18,Telecommunications Infrastructure,"{'BSNL broadband, banking leased circuit, all FTTH networking'}"
20,Telecommunications Services,"{'BSNL broadband, banking leased circuit, all FTTH networking'}"
36,Product Development Strategies,"{'Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals', 'Overall Product Ownership, Support, Configuration, Troubleshooting  and sales of both Hardware and SAAS products.'}"
33,Analytics and Data Analysis Solutions,"{'Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals', 'Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed.', 'Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI', 'Analytics and risk management along with asset allocation.'}"
39,Cloud Infrastructure,"{'Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals', 'Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS.'}"
27,Procurement Process,"{'Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals', 'Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed.', ""I was responsible for developing the backend software development requirements for the Team's product.""}"
28,Application Operations Cluster,{'to operate our app & to give sales pitching to clients'}
