Task,Response
"3d modelling, 2d drawings, client meetings and site visits","3d modelling, 2d drawings, client meetings, site visits"
1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team.,"Preparing L3 Baseline Schedule, Progress monitoring, Control, Preparing Progress reports, Preparing lookahead schedules, Coordination with Engineering Team"
To run the department of Orthopedic surgery,"run department, orthopedic surgery"
"BSNL broadband, banking leased circuit, all FTTH networking","BSNL broadband, banking leased circuit, FTTH networking"
"Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals","Building data products, analytics products, platforms, logistics, procurement, data analysis"
to operate our app & to give sales pitching to clients,"operate app, give sales pitching to clients"
"I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds.","manage accounts, sales and marketing, financial advising, mobile banking facilitation, fraud awareness education"
"Billing, customer service, appointment booking,floor incharge,billing","Billing, customer service, appointment booking, floor in-charge"
"Selling of good, diamond,platinum ti customers ,handling stock, casheir","selling goods, handling stock, cashier"
Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS.,"Data migration, Cloud architecture, Azure Data Factory (ADF), Alteryx, dataflow replication, stored procedures, SQL Server Management Studio (SSMS), SQL Server Integration Services (SSIS)"
"Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI","technical delivery, Analytics projects, Oracle Analytics, Tableau, Power BI"
Help students pass exams,"Help, students, pass, exams"
"Marketing, production, expansion","Marketing, production, expansion"
"Board design, circuit debugging","Board design, circuit debugging"
Manage All processes of manufacturing and retail units.,"Manage processes, manufacturing, retail units"
"Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management etc","Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management"
Analytics and risk management along with asset allocation.,"Analytics, risk management, asset allocation"
Handling accounts,handling accounts
Automation QA development,Automation QA development
"Overall Product Ownership, Support, Configuration, Troubleshooting  and sales of both Hardware and SAAS products.","Overall Product Ownership, Support, Configuration, Troubleshooting, Sales, Hardware products, SAAS products"
"Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization.","department coordination, legal action management, tax collection enforcement, case verification, legal condemnation management, payment facilitation, indemnization tracking"
I was responsible for developing the backend software development requirements for the Team's product.,"backend software development, requirements gathering, product development"
"Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed.","sales, client communication, Salesforce management, quotations preparation, client visits, profit analysis, business diversification, analytical techniques, imaging techniques"
"Assisting doctor, handling patients, technical operations, overall flow of the wellness center","Assisting doctor, handling patients, technical operations, overall flow of the wellness center"
Server at a restaurant,"taking orders, serving food and beverages, customer service, handling payments, providing menu recommendations, maintaining cleanliness, managing reservations, addressing customer inquiries, collaborating with kitchen staff"
Teaching Art as a subject and beyond,"Teaching, Art, Subject-specific skills, Creative expression, Curriculum development, Student engagement, Lesson planning, Educational techniques"
"Responsible for conceptualizing, implementing and leading the safety management system for the Airport . It involves setting up processes and driving it centrally through all internal heads (Departments-Airside operations , Airport operations centre, Aircraft rescue and Fire fighting, Engineering and maintainance, Airport safety and security, Cargo operations) and external stakeholders (Airlines/Groundhandlers/Refuellers/Caterers/ Concessionaires, Regulator, other state and centralGovt bodies)","conceptualizing, implementing, leading, safety management system, setting up processes, driving centrally, internal coordination, external coordination, stakeholder management, airport operations, engineering and maintenance, safety and security, cargo operations, regulatory compliance"
Management,management
Middle school (Science and Math),"curriculum development, lesson planning, student assessment, classroom management, instructional delivery, student engagement, educational technology integration, individualized instruction, communication skills, collaborative teaching"
"Managing the Manufacturing process of Industrial cleaning brushes and adhesives, From raw material procumbent till supply of finished goods.","Managing manufacturing processes, Industrial cleaning brush production, Adhesive manufacturing, Raw material procurement, Supply chain management, Quality control, Finished goods distribution"
I my early stage so i handle the workforces desperately,workforce handling
"Teaching Java, DSA, Full Stack Web Development, Cyber Security","Teaching Java, DSA, Full Stack Web Development, Cyber Security"
"Writing and reviewing monthly, weekly reports, calling, data analysis, taking part in consumer research. Preparing questionnaire for research etc.","Writing reports, reviewing reports, calling, data analysis, consumer research, preparing questionnaires"
"Affluent Relationship manager, Wealth management of HNI clients","affluent relationship management, wealth management, HNI client management"
