Job Title,Job Title Generic Description
Access Control,"Responsible for managing and monitoring systems to regulate access to facilities, data, and resources. Implements policies, maintains security protocols, and ensures compliance with organizational standards to protect assets and information. Supports troubleshooting, audits, and updates to improve security measures and access management efficiency."
Account Auditor,"Conducts detailed examinations of financial records and processes to ensure accuracy, compliance, and efficiency. Identifies discrepancies, evaluates internal controls, and prepares audit reports with actionable recommendations. Collaborates with stakeholders to enhance financial practices and mitigate risks."
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations."
Ad Creative Design Expert,"Reviews and analyzes ad creatives to recommend improvements aligned with industry best practices. Offers guidance on design elements, including imagery, typography, and layout, to enhance campaign impact. Collaborates with teams to develop visually compelling and effective marketing materials."
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations."
Agri Marketing,Identifies market opportunities for agricultural products and value-added goods. Establishes key market connections and supports the development of marketing strategies. Tracks and evaluates business performance to ensure alignment with overall goals and objectives.
Akshaya Volunteers,"Assists in the preparation, serving, and distribution of meals to individuals in need. Ensures food safety and cleanliness, supports kitchen and dining area organization, and provides friendly, efficient service to enhance the dining experience. Collaborates with team members to maintain a positive environment."
Allopathy Doctor,"Diagnoses and treats various medical conditions using evidence-based allopathic methods. Prescribes medications, performs procedures, and advises on preventive care. Collaborates with healthcare teams to develop treatment plans, monitors patient progress, and educates patients on managing their health and well-being."
Arabic Translator,"Translates written and spoken content from Arabic to other languages and vice versa. Ensures accurate and culturally appropriate communication across various topics. Supports written documentation, real-time interpretation, and localization to meet client needs and facilitate effective cross-cultural understanding."
Architect,"Develops and visualizes architectural designs and plans using design software. Collaborates on project concepts, technical drawings, and documentation to ensure functional and aesthetic outcomes. Supports design processes to align with client needs and project goals."
Art Teacher,"Assists in organizing and conducting art classes, supporting students with creative projects and activities. Helps with the preparation and execution of aesthetic and decorative elements for events. Utilizes skills in crafting, painting, and design to enhance learning experiences and foster creativity."
Artificial Intelligence (AI) Enthusiast,"Analyzes data, builds, and trains AI/ML models, and conducts research to stay updated on AI advancements. Explores use cases across domains, develops AI-driven tools, and prototypes creative solutions. Supports process automation, workflow optimization, and cross-functional collaboration. Utilizes coding, scripting, and market expertise to integrate AI solutions effectively into operations and projects."
