sp_id,column,extracted_text,Full Text
620699.0,Any Additional Skills,fiber optic slicing,"fiber optic slicing , networking. "
620699.0,Any Additional Skills,networking,"fiber optic slicing , networking. "
619335.0,Any Additional Skills,Tableau,"Tableau, Power BI, Hadoop, Web designing, c-language, Event organizing for small businesses"
619335.0,Any Additional Skills,Power BI,"Tableau, Power BI, Hadoop, Web designing, c-language, Event organizing for small businesses"
619335.0,Any Additional Skills,Hadoop,"Tableau, Power BI, Hadoop, Web designing, c-language, Event organizing for small businesses"
619335.0,Any Additional Skills,Web designing,"Tableau, Power BI, Hadoop, Web designing, c-language, Event organizing for small businesses"
619335.0,Any Additional Skills,c-language,"Tableau, Power BI, Hadoop, Web designing, c-language, Event organizing for small businesses"
619335.0,Any Additional Skills,Event organizing for small businesses,"Tableau, Power BI, Hadoop, Web designing, c-language, Event organizing for small businesses"
618949.0,Any Additional Skills,Spanish Tutor,"Spanish Tutor
Sound editing"
618949.0,Any Additional Skills,Sound editing,"Spanish Tutor
Sound editing"
618880.0,Any Additional Skills,organic fertilizer making,organic fertilizer making 
618735.0,Any Additional Skills,Google sheets,Google sheets
618472.0,Any Additional Skills,preparing for UPSC,preparing for UPSC
618419.0,Any Additional Skills,Lawyer,Lawyer
618273.0,Any Additional Skills,Various types of art,"✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting"
618273.0,Any Additional Skills,Singing,"✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting"
618273.0,Any Additional Skills,Playing Piano,"✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting"
618273.0,Any Additional Skills,MS Office,"✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting"
618273.0,Any Additional Skills,Adobe Photoshop,"✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting"
618273.0,Any Additional Skills,Premiere Pro,"✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting"
618273.0,Any Additional Skills,DaVinci Resolve video editing,"✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting"
618273.0,Any Additional Skills,Color grading,"✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting"
618273.0,Any Additional Skills,Virtual Reality (VR),"✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting"
618273.0,Any Additional Skills,AI art,"✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting"
618273.0,Any Additional Skills,Digital painting,"✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting"
