,SP ID,Any Additional Skills,Computer Skills,Gender,Age,Work Experience/Company,Work Experience/Designation,Work Experience/Tasks,Work Experience/Industry,Work Experience/From Date,Work Experience/To Date,Education/Qualifications,Education/Specialization,Skills,Languages,Years of Experience,summary
0,623114,NA,"i know little bit of python, can use ms word and basic computer use",Female,24.0,['university of bridgeport'],['front desk assistant'],['NA'],['HR and Admin'],['NA'],['NA'],['Postgraduate'],['NA'],['Emedia / Active on Social Media'],['Hindi / हिंदी (R W S T)'],,"
Participant 623114 has the following work experience: A HR and Admin in the industry doing NA tasks.
They have the following qualifications: ['Postgraduate'] in ['NA'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
i know little bit of python, can use ms word and basic computer use and know the following languages: Hindi / हिंदी (R W S T).
The participant is a Female and 24.0 years old.
"
1,621593,NA,"I am proficient in Microsoft word, Autocad, Sketchup, Photoshop and Indesign",Male,23.0,"['Strzala architects', 'Weston Williamson + partners']","['Part 1 architectural assistant', 'Part 1 architectural assistant']","['3d modelling, 2d drawings, client meetings and site visits', '3d modelling, making presentations , 2D drawings check']","['Architecture', 'Architecture']","['2022-08-17', '2024-01-02']","['2023-08-15', '2024-07-25']",['Bachelor of Architecture (B.Arch)'],['Architecture'],['Emedia / Active on Social Media'],['English (UK) (R W S T)'],"[0.99, 0.56]","
Participant 621593 has the following work experience: A Architecture in the industry doing 3d modelling, 2d drawings, client meetings and site visits tasks for 12 months. A Architecture in the industry doing 3d modelling, making presentations , 2D drawings check tasks for 6 months.
They have the following qualifications: ['Bachelor of Architecture (B.Arch)'] in ['Architecture'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
I am proficient in Microsoft word, Autocad, Sketchup, Photoshop and Indesign and know the following languages: English (UK) (R W S T).
The participant is a Male and 23.0 years old.
"
2,621290,NA,"Microsoft Excel, Word, Powerpoint Presentation, Microsoft Project, Primavera (P6), Power BI (Beginner)",Female,30.0,"['Aker Solutions', 'Tata Projects Limited']","['Planning Engineer', 'Deputy Manager - Projects']","['1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team.', '1) Coordination with the sub-contractors & vendors for the delivery & execution of work at site. (2) Ordering & Delivery of Structural Steel as per the scope. (3) Performing Technical Bid Evaluation for the identified subcontractors. (4) Reconciliation of construction materials. (5) Traking of overall procurement status, from dispatch to billing at site. (6) Raising Claims (7) Preparing of L3 Baseline Schedule. (8) Preparing & Monitroing Weekly & Monthly Progress Reports']","['Construction and Engineering', 'Construction and Engineering']",['NA'],['NA'],"['Postgraduate', 'Bachelor of Engineering (B.E.)', 'HSC/12']","['Post Graduate Programme - Advanced Construction Management', 'Construction Management']",['Construction & Fabrication / Civil Engineer'],"['English (IN) (R W S T)', 'Hindi / हिंदी (R W S T)']",,"
Participant 621290 has the following work experience: A Construction and Engineering in the industry doing 1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team. tasks.
They have the following qualifications: ['Postgraduate', 'Bachelor of Engineering (B.E.)', 'HSC/12'] in ['Post Graduate Programme - Advanced Construction Management', 'Construction Management'].
They have the following skills: ['Construction & Fabrication / Civil Engineer'] and NA and computer skill 
Microsoft Excel, Word, Powerpoint Presentation, Microsoft Project, Primavera (P6), Power BI (Beginner) and know the following languages: English (IN) (R W S T).Hindi / हिंदी (R W S T).
The participant is a Female and 30.0 years old.
"
3,620894,NA,"1. Basic Computer Literacy 
Operating systems: Familiarity with Windows, macOS, or Linux. 
File management: Organizing, saving, and finding files using folders and directories. 
Keyboard shortcuts: Using shortcuts for efficiency (e.g., Ctrl+C for copy, Ctrl+V for paste). 
2. Word Processing 
Proficiency in Microsoft Word, Google Docs, or similar programs for creating, editing, and formatting documents. 
Ability to use features like tables, headers/footers, and text formatting tools. 
3. Spreadsheets 
Understanding of Microsoft Excel or Google Sheets for data entry, creating formulas, generating charts, and analyzing data. 
Knowledge of basic functions like SUM, AVERAGE, VLOOKUP, and PivotTables. 
4. Email and Communication Tools 
Using email clients (Outlook, Gmail) for effective communication and file sharing. 
Familiarity with scheduling tools like Google Calendar, Microsoft Outlook, or Zoom for meetings. 
5. Internet Skills 
Navigating web browsers (Chrome, Firefox, Safari) and performing searches using search engines. 
Knowledge of online safety practices, including recognizing phishing scams and using strong passwords. 
6. Presentation Software 
Creating presentations with Microsoft PowerPoint, Google Slides, or similar tools. 
Understanding of visual design principles for clear, engaging presentations (e.g., using appropriate fonts, colors, and layouts). 
7. Social Media and Collaboration Tools 
Basic knowledge of platforms like LinkedIn, Facebook, Twitter, or Instagram. 
Familiarity with collaboration tools like Slack, Trello, or Asana for team projects and communication. 
8. Basic Troubleshooting and Maintenance 
Ability to solve simple technical problems like software errors, slow performance, and network issues. 
Knowledge of antivirus software and how to maintain system security. 
9. Cloud Storage and File Sharing 
Familiarity with cloud storage platforms like Google Drive, Dropbox, or OneDrive for storing, sharing, and collaborating on files.",Male,34.0,"['Sardar Patel hospital', 'Dhiraj general hospital']","['Consultant Orthopedic surgeon', 'Assistant professor']","['To run the department of Orthopedic surgery', 'Clinical and academic post']","['Healthcare', 'Medical']",['NA'],['NA'],"['Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.)', 'Master of Surgery (M.S.)', 'Ph.D']","['Orthopedics', 'Orthopaedics basic and advance trauma and adult joint reconstructive surgery', 'Advance Orthopedic training - arthroplasty']",['Emedia / Active on Social Media'],"['Gujarati / ગુજરાતી (R  S )', 'English (UK) (R W S T)', 'Hindi / हिंदी (R W S T)', 'Sanskrit (R W S )']",,"
Participant 620894 has the following work experience: A Healthcare in the industry doing To run the department of Orthopedic surgery tasks.
They have the following qualifications: ['Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.)', 'Master of Surgery (M.S.)', 'Ph.D'] in ['Orthopedics', 'Orthopaedics basic and advance trauma and adult joint reconstructive surgery', 'Advance Orthopedic training - arthroplasty'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
1. Basic Computer Literacy 
Operating systems: Familiarity with Windows, macOS, or Linux. 
File management: Organizing, saving, and finding files using folders and directories. 
Keyboard shortcuts: Using shortcuts for efficiency (e.g., Ctrl+C for copy, Ctrl+V for paste). 
2. Word Processing 
Proficiency in Microsoft Word, Google Docs, or similar programs for creating, editing, and formatting documents. 
Ability to use features like tables, headers/footers, and text formatting tools. 
3. Spreadsheets 
Understanding of Microsoft Excel or Google Sheets for data entry, creating formulas, generating charts, and analyzing data. 
Knowledge of basic functions like SUM, AVERAGE, VLOOKUP, and PivotTables. 
4. Email and Communication Tools 
Using email clients (Outlook, Gmail) for effective communication and file sharing. 
Familiarity with scheduling tools like Google Calendar, Microsoft Outlook, or Zoom for meetings. 
5. Internet Skills 
Navigating web browsers (Chrome, Firefox, Safari) and performing searches using search engines. 
Knowledge of online safety practices, including recognizing phishing scams and using strong passwords. 
6. Presentation Software 
Creating presentations with Microsoft PowerPoint, Google Slides, or similar tools. 
Understanding of visual design principles for clear, engaging presentations (e.g., using appropriate fonts, colors, and layouts). 
7. Social Media and Collaboration Tools 
Basic knowledge of platforms like LinkedIn, Facebook, Twitter, or Instagram. 
Familiarity with collaboration tools like Slack, Trello, or Asana for team projects and communication. 
8. Basic Troubleshooting and Maintenance 
Ability to solve simple technical problems like software errors, slow performance, and network issues. 
Knowledge of antivirus software and how to maintain system security. 
9. Cloud Storage and File Sharing 
Familiarity with cloud storage platforms like Google Drive, Dropbox, or OneDrive for storing, sharing, and collaborating on files. and know the following languages: Gujarati / ગુજરાતી (R  S ).English (UK) (R W S T).Hindi / हिंदी (R W S T).Sanskrit (R W S ).
The participant is a Male and 34.0 years old.
"
4,620699,"fiber optic slicing , networking. ","Networking, FTTH, fiber optic, LAN WAN, ROUTING, SWITCH, MS OFFICE,",Male,34.0,"['BSNL', 'Pune institute of business management']","['Tele infra provider', 'Assistant process manager']","['BSNL broadband, banking leased circuit, all FTTH networking', 'Counselling for admission and placement']","['Telecom', 'Marketing']",['NA'],['NA'],['Diploma'],['Electrical'],['General / Telecom'],['English (IN) (R W S T)'],,"
Participant 620699 has the following work experience: A Telecom in the industry doing BSNL broadband, banking leased circuit, all FTTH networking tasks.
They have the following qualifications: ['Diploma'] in ['Electrical'].
They have the following skills: ['General / Telecom'] and fiber optic slicing , networking.  and computer skill 
Networking, FTTH, fiber optic, LAN WAN, ROUTING, SWITCH, MS OFFICE, and know the following languages: English (IN) (R W S T).
The participant is a Male and 34.0 years old.
"
5,620674,NA,"Excel, Power Point, Word, Python coding, Figma UI design",Male,35.0,"['Aditya Birla Management Corporation Pvt Ltd', 'Sterlite EdIndia Foundation', 'Sub-K Impact Solutions Pvt Ltd', 'Mindsarray Technologies Pvt Ltd (Pay1)', 'Manash Lifestyle Pvt Ltd (purplle.com)']","['Senior Product Manager - Group Data & Analytics', 'Lead - Products & Solutions', 'Manager - Digital Initiatives', 'Senior Software Developer', 'Software Developer']","['Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals', 'Building App for teacher engagement & dashboard for district Education officers, IT solutioning and budgeting', 'Evaluating strategic (add-ons) opportunities and program managing digital corporate digital strategy', 'Designing, developing & testing features for android apps, front-end & backend development using PHP frameworks for enabling payments', 'Design, develop and test front-end and back-end features for an e-commerce website selling cosmetics online and beauty salons listing']","['Supply Chain', 'Teaching', 'Banking and Financial Services', 'Banking and Financial Services', 'Retail']",['NA'],['NA'],"['Master of Business Administration (M.B.A.)', 'Master of Technology (M.Tech)', 'Bachelor of Technology (B.Tech)']","['Food & Agribusiness Management', 'Power Electronics', 'Electrical Engineering']",['Emedia / Active on Social Media'],"['English (IN) (R W S T)', 'Hindi / हिंदी (R W S T)', 'Marathi (R W S T)']",,"
Participant 620674 has the following work experience: A Supply Chain in the industry doing Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals tasks.
They have the following qualifications: ['Master of Business Administration (M.B.A.)', 'Master of Technology (M.Tech)', 'Bachelor of Technology (B.Tech)'] in ['Food & Agribusiness Management', 'Power Electronics', 'Electrical Engineering'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
Excel, Power Point, Word, Python coding, Figma UI design and know the following languages: English (IN) (R W S T).Hindi / हिंदी (R W S T).Marathi (R W S T).
The participant is a Male and 35.0 years old.
"
6,620302,NA,No,Male,19.0,['NA'],['NA'],['NA'],['NA'],['NA'],['NA'],['Undergraduate'],['Physics'],['Emedia / Active on Social Media'],['English (IN) (R W S T)'],,"
Participant 620302 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: ['Undergraduate'] in ['Physics'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
No and know the following languages: English (IN) (R W S T).
The participant is a Male and 19.0 years old.
"
7,619890,NA,"PowerPoint, ms word",Male,21.0,['NA'],['NA'],['NA'],['NA'],['NA'],['NA'],['Bachelor - Other'],['Pharmacy Practice'],['Emedia / Active on Social Media'],"['English (US) (R W S T)', 'Hindi / हिंदी (R W  )']",,"
Participant 619890 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: ['Bachelor - Other'] in ['Pharmacy Practice'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
PowerPoint, ms word and know the following languages: English (US) (R W S T).Hindi / हिंदी (R W  ).
The participant is a Male and 21.0 years old.
"
8,619827,NA,basic,Male,24.0,['info guild technologies Pvt Ltd'],['Deployment co-ordinator'],['to operate our app & to give sales pitching to clients'],['IT'],['NA'],['NA'],['NA'],['NA'],['Emedia / Active on Social Media'],"['Telugu / తెలుగు (R W S T)', 'Hindi / हिंदी (R W S T)', 'English (IN) (R W S T)']",,"
Participant 619827 has the following work experience: A IT in the industry doing to operate our app & to give sales pitching to clients tasks.
They have the following qualifications: ['NA'] in ['NA'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
basic and know the following languages: Telugu / తెలుగు (R W S T).Hindi / हिंदी (R W S T).English (IN) (R W S T).
The participant is a Male and 24.0 years old.
"
9,619678,NA,"I can do basic document, video editing. Can use basic creative software and can learn computer skills fast. *NO CODING SKILLS*",Male,22.0,['Department of Posts'],['Grameen Daak Sevak Branch Post Master ( GDS BPM )'],"['I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds.']",['Banking and Financial Services'],['NA'],['NA'],['Bachelor of Science (B.Sc)'],['Zoology Hons'],['Emedia / Active on Social Media'],"['Bengali / বাংলা (R W S T)', 'English (IN) (R W S T)', 'Hindi / हिंदी (R  S T)']",,"
Participant 619678 has the following work experience: A Banking and Financial Services in the industry doing I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds. tasks.
They have the following qualifications: ['Bachelor of Science (B.Sc)'] in ['Zoology Hons'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
I can do basic document, video editing. Can use basic creative software and can learn computer skills fast. *NO CODING SKILLS* and know the following languages: Bengali / বাংলা (R W S T).English (IN) (R W S T).Hindi / हिंदी (R  S T).
The participant is a Male and 22.0 years old.
"
