Request Name,Job Title,Job Description,Department,Languages,Skills/Keywords,Add'l Skills
Global Languages Publications - Arabic Translator - 2250,Arabic Translator,"1 support coordinator: Assigns tasks to volunteers and makes sure that all the tasks are completed on time.
1 trasnlator: Translation of text, creatives (text+image) and videos.
1 Proofreader: Final review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
1 video editor : Video editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Arabic / الْعَرَبيّة,Soft Skills / Articulate in communication,"Basic Computer Skills / Data Entry skills,Media and Communication / Editor"
Global Languages Publications - Translators - 2251,Translators,"Bulgarian TranslatorTranslation of text, creatives (text+image) and videos.
Bulgarian ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Bulgarian Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Bulgarian / български език,Soft Skills / Articulate in communication,"Media and Communication / Editor,Soft Skills / Strong Interpersonal skills (Coordinator)"
Global Languages Publications - French Translator - 2252,French Translator,"French translatorTranslation of text, creatives (text+image) and videos.
French ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
French Video editorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,French / Français,Soft Skills / Articulate in communication,Arts and Crafts / Video Editor
Human Possibilities - Dining Support - 2253,Dining Support,"Maintains Discipline in Staff dining,
Ensure Water is available for Plate Wash,
Ensure Drinking Water is available,
Ensure Power available on dining timing,
Ensure Cleanliness of Dining areas & Utensils - Plates, Tumblers & Etc,
Ensure Serving food at right time at 10:AM & 07:00 Pm at night.
Ability to work well in a fast-paced environment.
Ability to focus attention on employee needs in dining, remaining calm and courteous at all times.
Should be able to manage the crowd at times.
Dining Serving,
Maintains Discipline in Staff dining",Human Possibilities,"Hindi / हिंदी,Tamil",Soft Skills / Fit for Physical Seva,NA
Human Possibilities - Administrative Activities (Back Office) - 2254,Administrative Activities (Back Office),"Process payroll for employees in the organization
Familiarize yourself and keep current with the taxation of salaries, benefits and other factors
Maintain personnel database.
Manage organization budget and expenses
Report to department supervisor regarding daily activities and issues
Address and resolve employee complaints relating to the payroll system
Work with company database programs to process payroll
Prepare reports to relevant departments about payroll, company budget and expense",Human Possibilities,"Kannada,Tamil,Hindi / हिंदी,English (UK)",Corporate / HR Executive,Corporate / HR Manager
Human Possibilities - Recruitment Officer - 2255,Recruitment Officer,"To match the right person for the right job and to fill the manpower vacancies on the regular basis
Identifying the hiring needs 
Sourcing candidates by various modes-Job portals, social media, employee referrals & internal database 
Screening the candidates and conducting assessments 
Preparing the job descriptions
Good knowledge of Job portals
Computer skills needed Good command over MS office (Excel & PPT) 
Proven work experience as a Recruiter 
Time-management skills 
Excellent communication and interpersonal skills",Human Possibilities,"English (UK),Tamil,Kannada,Hindi / हिंदी","Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Corporate / HR Executive,Corporate / HR Manager",Soft Skills / Soft-spoken and cordial
Plumbing - Site Supervisor - 2256,Site Supervisor,Supervising at various ashram locations for ongoing plumbing work,Plumbing,"Tamil,Hindi / हिंदी,Telugu / తెలుగు,English (US)","Construction & Fabrication / Construction Supervisor,Engineering / Engineering - Others",Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Plumbing - Coordinating Activities - 2257,Coordinating Activities,Plumbing Store Keeper,Plumbing,"Tamil,English (US),Telugu / తెలుగు,Hindi / हिंदी",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Corporate / Financial & Accounting Executive
Global Languages Publications - German Translator - 2258,German Translator,"Translator: Translation of text, creatives (text+image) and videos.
Proofread: Final review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Video editor: Video editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,German / Deutsch,Soft Skills / Articulate in communication,Arts and Crafts / Video Editor
Global Languages Publications - Translators - 2259,Translators,"Hebrew Team Coordinator:Main POC between ashram admin team and the language team (remote volunteers outside of the ashram). Finds and onboards new volunteers. Team building, conducts meetings with the team. Conflict resolution within the team. Process design to optimize work.
Hebrew Translator: Translation of text, creatives (text+image) and videos.",Global Languages Publications,Hebrew / עִבְרִי,Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator)
