Request Name,Job Title,Job Description,Department,Gender Preference,# of Volunteers,Stage,Skills/Keywords,Add'l Skills,Languages,Work Experience Needed?,Number of Years,Educational Qualification
Global Languages Publications - Arabic Translator - 2250,Arabic Translator,"1 support coordinator: Assigns tasks to volunteers and makes sure that all the tasks are completed on time.
1 trasnlator: Translation of text, creatives (text+image) and videos.
1 Proofreader: Final review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
1 video editor : Video editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Any,4,Approved,Soft Skills / Articulate in communication,Basic Computer Skills / Data Entry skills,Arabic / الْعَرَبيّة,0,,None
,,,,,,,,Media and Communication / Editor,,,,
Global Languages Publications - Translators - 2251,Translators,"Bulgarian TranslatorTranslation of text, creatives (text+image) and videos.
Bulgarian ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Bulgarian Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Any,3,Approved,Soft Skills / Articulate in communication,Media and Communication / Editor,Bulgarian / български език,0,,None
,,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,
Global Languages Publications - French Translator - 2252,French Translator,"French translatorTranslation of text, creatives (text+image) and videos.
French ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
French Video editorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Any,4,Approved,Soft Skills / Articulate in communication,Arts and Crafts / Video Editor,French / Français,0,,None
Human Possibilities - Dining Support - 2253,Dining Support,"Maintains Discipline in Staff dining,
Ensure Water is available for Plate Wash,
Ensure Drinking Water is available,
Ensure Power available on dining timing,
Ensure Cleanliness of Dining areas & Utensils - Plates, Tumblers & Etc,
Ensure Serving food at right time at 10:AM & 07:00 Pm at night.
Ability to work well in a fast-paced environment.
Ability to focus attention on employee needs in dining, remaining calm and courteous at all times.
Should be able to manage the crowd at times.
Dining Serving,
Maintains Discipline in Staff dining",Human Possibilities,Any,6,Approved,Soft Skills / Fit for Physical Seva,,Hindi / हिंदी,0,,Bachelor - Other
,,,,,,,,,Tamil,,,
Human Possibilities - Administrative Activities (Back Office) - 2254,Administrative Activities (Back Office),"Process payroll for employees in the organization
Familiarize yourself and keep current with the taxation of salaries, benefits and other factors
Maintain personnel database.
Manage organization budget and expenses
Report to department supervisor regarding daily activities and issues
Address and resolve employee complaints relating to the payroll system
Work with company database programs to process payroll
Prepare reports to relevant departments about payroll, company budget and expense",Human Possibilities,Any,4,Approved,Corporate / HR Executive,Corporate / HR Manager,Kannada,1,0 ~ 5,Bachelor of Business Administration (B.B.A.)
,,,,,,,,,Tamil,,,
,,,,,,,,,Hindi / हिंदी,,,
