SP ID,Registration Batch,Gender,Age,Work Experience/Company,Work Experience/Designation,Work Experience/Tasks,Work Experience/Industry,Work Experience/From Date,Work Experience/To Date,Education/Qualifications,Education/Institution's Name,Education/City,Education/Specialization,Any Additional Skills,Computer Skills,Skills,Languages,Any Hobbies/Interests,Hobbies/Interests/Type,Hobbies/Interests/Name,CLUSTER,Other Cluster
623114,2025 - 2026 [upcoming_batch],Female,24,university of bridgeport,front desk assistant,,HR and Admin,"2024-04-29,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Postgraduate,university of bridgeport,bridgeport,,,"i know little bit of python, can use ms word and basic computer use",Emedia / Active on Social Media,Hindi / हिंदी (R W S T),,,,Administrative,IT
621593,2025 - 2026 [upcoming_batch],Male,23,"Strzala architects,Weston Williamson + partners","Part 1 architectural assistant,Part 1 architectural assistant","3d modelling, 2d drawings, client meetings and site visits,3d modelling, making presentations , 2D drawings check","Architecture,Architecture","2022-08-17,2024-01-02,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2023-08-15,2024-07-25,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Architecture (B.Arch),University of Manchester,Manchester,Architecture,,"I am proficient in Microsoft word, Autocad, Sketchup, Photoshop and Indesign",Emedia / Active on Social Media,English (UK) (R W S T),,,,Architecture,
621290,2025 - 2026 [upcoming_batch],Female,30,"Aker Solutions,Tata Projects Limited","Planning Engineer,Deputy Manager - Projects","1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team.,1) Coordination with the sub-contractors & vendors for the delivery & execution of work at site. (2) Ordering & Delivery of Structural Steel as per the scope. (3) Performing Technical Bid Evaluation for the identified subcontractors. (4) Reconciliation of construction materials. (5) Traking of overall procurement status, from dispatch to billing at site. (6) Raising Claims (7) Preparing of L3 Baseline Schedule. (8) Preparing & Monitroing Weekly & Monthly Progress Reports","Construction and Engineering,Construction and Engineering","2023-04-17,2019-07-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2023-03-31,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Postgraduate,Bachelor of Engineering (B.E.),HSC/12","National Institute of Construction Management and Research, Pune,Lakshmi Narain College of Technology & Science, Bhopal,Carmel Convent Hr. Sec. School, BHEL, Bhopal","Pune,Bhopal,Bhopal","Post Graduate Programme - Advanced Construction Management,Construction Management",,"Microsoft Excel, Word, Powerpoint Presentation, Microsoft Project, Primavera (P6), Power BI (Beginner)",Construction & Fabrication / Civil Engineer,"English (IN) (R W S T),Hindi / हिंदी (R W S T)",,,,Construction,
620894,2025 - 2026 [upcoming_batch],Male,34,"Sardar Patel hospital,Dhiraj general hospital","Consultant Orthopedic surgeon,Assistant professor","To run the department of Orthopedic surgery,Clinical and academic post","Healthcare,Medical","2019-06-21,2017-08-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2018-06-15,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.),Master of Surgery (M.S.),Ph.D","Sbks mirc,Sbks Mirc,P. D . Hinduja hospital and research center","Vadodra,Vadodara,Mumbai","Orthopedics,Orthopaedics basic and advance trauma and adult joint reconstructive surgery,Advance Orthopedic training - arthroplasty",,"1. Basic Computer Literacy 
Operating systems: Familiarity with Windows, macOS, or Linux. 
File management: Organizing, saving, and finding files using folders and directories. 
Keyboard shortcuts: Using shortcuts for efficiency (e.g., Ctrl+C for copy, Ctrl+V for paste). 
2. Word Processing 
Proficiency in Microsoft Word, Google Docs, or similar programs for creating, editing, and formatting documents. 
Ability to use features like tables, headers/footers, and text formatting tools. 
3. Spreadsheets 
Understanding of Microsoft Excel or Google Sheets for data entry, creating formulas, generating charts, and analyzing data. 
Knowledge of basic functions like SUM, AVERAGE, VLOOKUP, and PivotTables. 
4. Email and Communication Tools 
Using email clients (Outlook, Gmail) for effective communication and file sharing. 
Familiarity with scheduling tools like Google Calendar, Microsoft Outlook, or Zoom for meetings. 
5. Internet Skills 
Navigating web browsers (Chrome, Firefox, Safari) and performing searches using search engines. 
Knowledge of online safety practices, including recognizing phishing scams and using strong passwords. 
6. Presentation Software 
Creating presentations with Microsoft PowerPoint, Google Slides, or similar tools. 
Understanding of visual design principles for clear, engaging presentations (e.g., using appropriate fonts, colors, and layouts). 
7. Social Media and Collaboration Tools 
Basic knowledge of platforms like LinkedIn, Facebook, Twitter, or Instagram. 
Familiarity with collaboration tools like Slack, Trello, or Asana for team projects and communication. 
8. Basic Troubleshooting and Maintenance 
Ability to solve simple technical problems like software errors, slow performance, and network issues. 
Knowledge of antivirus software and how to maintain system security. 
9. Cloud Storage and File Sharing 
Familiarity with cloud storage platforms like Google Drive, Dropbox, or OneDrive for storing, sharing, and collaborating on files.",Emedia / Active on Social Media,"Gujarati / ગુજરાતી (R  S ),English (UK) (R W S T),Hindi / हिंदी (R W S T),Sanskrit (R W S )","Chess, Scuba diving",,,Medical,
620699,2025 - 2026 [upcoming_batch],Male,34,"BSNL,Pune institute of business management","Tele infra provider,Assistant process manager","BSNL broadband, banking leased circuit, all FTTH networking,Counselling for admission and placement","Telecom,Marketing","2016-08-16,2014-03-12,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2015-04-08,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Diploma,Dr np hirani poly,Pusad,Electrical,"fiber optic slicing , networking. ","Networking, FTTH, fiber optic, LAN WAN, ROUTING, SWITCH, MS OFFICE,",General / Telecom,English (IN) (R W S T),,,,Telecom,
620674,2025 - 2026 [upcoming_batch],Male,35,"Aditya Birla Management Corporation Pvt Ltd,Sterlite EdIndia Foundation,Sub-K Impact Solutions Pvt Ltd,Mindsarray Technologies Pvt Ltd (Pay1),Manash Lifestyle Pvt Ltd (purplle.com)","Senior Product Manager - Group Data & Analytics,Lead - Products & Solutions,Manager - Digital Initiatives,Senior Software Developer,Software Developer","Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals,Building App for teacher engagement & dashboard for district Education officers, IT solutioning and budgeting,Evaluating strategic (add-ons) opportunities and program managing digital corporate digital strategy,Designing, developing & testing features for android apps, front-end & backend development using PHP frameworks for enabling payments,Design, develop and test front-end and back-end features for an e-commerce website selling cosmetics online and beauty salons listing","Supply Chain,Teaching,Banking and Financial Services,Banking and Financial Services,Retail","2022-02-08,2020-04-15,2018-05-01,2015-02-02,2013-10-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2020-04-14,2016-05-25,2014-08-31,2014-08-31,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Master of Business Administration (M.B.A.),Master of Technology (M.Tech),Bachelor of Technology (B.Tech)","IIM Ahmedabad,IIT Roorkee,IIT Roorkee","Ahmedabad,Roorkee,Roorkee","Food & Agribusiness Management,Power Electronics,Electrical Engineering",,"Excel, Power Point, Word, Python coding, Figma UI design",Emedia / Active on Social Media,"English (IN) (R W S T),Hindi / हिंदी (R W S T),Marathi (R W S T)",,,,Data Science,
620302,2025 - 2026 [upcoming_batch],Male,19,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Undergraduate,National pu comp college,Hospet,Physics,,No,Emedia / Active on Social Media,English (IN) (R W S T),,,,General,
619890,2025 - 2026 [upcoming_batch],Male,21,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor - Other,KLR Pharmacy College,Palvoncha,Pharmacy Practice,,"PowerPoint, ms word",Emedia / Active on Social Media,"English (US) (R W S T),Hindi / हिंदी (R W  )",,,,Medical,
619827,2025 - 2026 [upcoming_batch],Male,24,info guild technologies Pvt Ltd,Deployment co-ordinator,to operate our app & to give sales pitching to clients,IT,"2024-02-26,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",,,,,,basic,Emedia / Active on Social Media,"Telugu / తెలుగు (R W S T),Hindi / हिंदी (R W S T),English (IN) (R W S T)",,,,Sales & Marketing,
619678,2025 - 2026 [upcoming_batch],Male,22,Department of Posts,Grameen Daak Sevak Branch Post Master ( GDS BPM ),"I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds.",Banking and Financial Services,"2022-08-02,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Science (B.Sc),Sidho Kanho Birsha University,Purulia,Zoology Hons,,"I can do basic document, video editing. Can use basic creative software and can learn computer skills fast. *NO CODING SKILLS*",Emedia / Active on Social Media,"Bengali / বাংলা (R W S T),English (IN) (R W S T),Hindi / हिंदी (R  S T)",,,,Sales & Marketing,
619542,2025 - 2026 [upcoming_batch],Male,24,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Law (B.L. / LLB),Institute of law and research,Faridabad,Litigation,,Basic,General / Lawyer,English (UK) (R W S T),,"Theatre and Film,Sports","Acting,Football",Law,
619537,2025 - 2026 [upcoming_batch],Female,39,"Manipal hospital Whitefield,Prakash power planning pvt","Senior patient care coordinator,Assistant purchase manager","Billing, customer service, appointment booking,floor incharge,billing,Billing, invoice, quotation,tender","Healthcare,Purchase","2017-07-10,2008-03-05,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2017-01-11,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Commerce (B.Com),Vasavi vidyanikethan women's college,Bengaluru,Accounts,,Diploma in computer application,Emedia / Active on Social Media,Kannada (R W S T),,,,Finance,
