Person Id,Computer Skills,Additional Skills,Skillset,Work Experience,Work Designation,Education,Education Specialization,VRF ID,Seva Dept,Job Description,Skills/Keyword,Seva Allocation Accurate or not,Not understood/little confusion/some doubt,Comment
344962,Yes,,"Media and Communication / BPO
Soft Skills / Enthusiastic
Soft Skills / Soft-spoken and cordial",Tech mahindra,Associate,Bachelor of Science (B.Sc),Agriculture,Ashram Administration - Customer Support Representatives -  2282,Ashram Administration,"  1.  Answering inbound calls, and providing information as per queries.
  2. Evaluate the caller queries/problems/complaints to respond to their needs appropriately and guide them to connect with the relevant department/Service/Program.
  3. Re-route calls/slack to co-volunteer to assist callers of different langauge e.g. Tamil, Hindi.
  4. If there is an issue which is repeatedly reported by one or more caller escalate it to Call Center In-charge to take action.
  5. Pro-actively call back to the caller, to inform to resolve their queries (whenever needed)   ",Soft Skills / Articulate in communication,1,,
308383,"MS Office, ArcGIS",,Soft Skills / Articulate in communication,NCPE INFRASTRUCTURE PVT LTD,Jr Engineer Planner,Master of Technology (M.Tech),Urban Planning (Housing),Local welfare - On ground Support - 2653,Outreach / Local welfare,we are doing lots of field activities on ground. localwelfare department connects with local village people so we need more field volunteers for this activities ,Emedia / Active on Social Media,1,,
305526,"Adobe Lightroom (colour correction)  
Cam learn FCP & premier pro (video editing)",,Soft Skills / EnthusiasticBasic Computer Skills / Basic Computer (MS Office and Email) Skills,Maa Balaji Sarees,Sales Administrator,Bachelor of Arts (B.A.)Bachelor of Arts (B.A.)Bachelor of Arts (B.A.),Mass Media & Journalism,ILPL - Marketing - Photo/ Image Editing - 2724,ILPL - Marketing,Photo/Video Editor for Website and Social Media Campaigns,Media and Communication / Editor,1,,
308902,MS Office Applications,"research and development, teaching",General / Hospitality/ Hotel Manager,OKLAHOMA STATE UNIVERSITY,Graduate Research Assistant,Bachelor of Science (B.Sc),Physics,Isha Home School - Class Teacher - Junior School - 2325,Isha Home School,"* Teach the following subjects of the JS curriculum - English, Math, Environmental Science
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to parents during parent visits 
* Coordinate activities and resources within a specific area of the curriculum, and support colleagues in the delivery of this specialist area
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Education / Primary Teacher,1,,
352175,"MS-word,Excel, powerpoint",,Soft Skills / Articulate in communication,Ripplr,Logistic Mananger,Bachelor of Commerce (B.Com),,Indian Language Publications - Kannada Translator - 2420,Indian Language Publications,"Translation of Sadhguru videos, articles, and books.",Media and Communication / Copywriter,0,,based on language understanding not skills
309755,Basic handling,Has also learnt music production but not worked anywhere,Soft Skills / Articulate in communication,Ashirwad Construction Company,Project manager,Diploma,Civil engineering,Construction - LSP - Site Supervisor - 2461,Construction - LSP,Construction Site Supervising,Construction & Fabrication / Construction - Others,1,,
372477,"ms-excel, ms office, forms, google drive, social media handling,  google sheets, skype, zoom, canva,",,Emedia / Digital Marketing,,,Master of Business Administration (M.B.A.),"Marketing , operations",Emedia Operations - Social media Manager - 2523,E-Media Panel / Emedia Operations,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",Emedia / Active on Social Media,1,,
358874,"MS Excel, MS Power Point, MS Office",https://www.instagram.com/yogic.musings?utm_source=qr&igsh=MWZnbzRpYzc5NHdjaA==,Engineering / Electrical Engineer,"ICF International, Global Consultancy Services Company",Energy Market Analyst,Master of Technology (M.Tech),Integrated Power Systems,Isha Leadership Academy - Content Support Executive (CSE) - 2286,Sadhguru Academy,"Raise and follow up JIRA requests with all departments - impressions, emedia and video pub. 

E.g - 
Coordinate with Impressions for design of collaterals - Brochure, Standee, flyers, posters, tags, certificates, note books, feedback forms, workshop reflection forms.
Coordinate with vendor/emedia for website updates, HTML coding for creating HTML emails
Keep a track of project timelines.

Project management skills, Good interpersonal skills, Advanced Excel
",Soft Skills / Articulate in communication,1,,
356771,"data science, microsoft excel, artificial intelligence , pyhton programming , video editing , data visualisation tools.",,Education / Teacher - Others,CSMSS CHH. SHAHU COLLEGE OF ENGINEERING,Assistant Professor,Master of Engineering (M.E.),Communication Engineering,Sadhanapada - Project Manager - 2871,Sadhanapada,Sadhanapada Indian Application - Inter-team Coordination,Soft Skills / Strong Interpersonal skills (Coordinator),1,,
365644,"Web development skills: 
HTML5, CSS3, JS, React, Redux/toolkit, Zustand, Chkra-UI, Git and GitHub",Is learning web development,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,Bachelor of Arts (B.A.),History,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,1,,learning web development but do not have experience
349752,"Typing , Ms office",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,Bachelor of Arts (B.A.),Psychology,Sadhanapada - Dining Support - 2720,Sadhanapada,"Prana Danam - Prana Danam core team - Support for dining activities including Serving and Coordination. taking small sessions, meetings, preferably satsang ishangas",Soft Skills / Fit for Physical Seva,1,,
359835,"Good at word, EXCEL, PPT etc. office software.",pharmaceutical engineer,Engineering / Engineering - Others,Astrazeneca,Senior Clinical Research Associate,Bachelor of Engineering (B.E.),Pharmaceutical Engineering,Isha Health Solutions - Researcher - 2410,Isha Health Solutions,Researcher,General / Researcher,1,,
315894,I am very good in English typing skills and basic computing.,,Soft Skills / Articulate in communication,"Century Cement College, Baikunth",Lecturer,Bachelor of Arts (B.A.),English Literature,Senior School - IHS - Environmental Science Teacher -  2605,Isha Home School / Senior School - IHS,"""* Plan lessons and develop curricula aligned to the prescribed syllabus
* Plan and conduct laboratory experiments, field investigations, and outdoor activities to help students develop scientific inquiry skills, understand environmental processes, and apply scientific principles to real-world issues.
* Provide clear explanations, examples, and demonstrations to help students grasp complex environmental concepts and principles and make connections between theory and real-world applications.
* Foster critical thinking, problem-solving skills, and a sense of environmental stewardship through hands-on activities, projects, and discussions.
* Differentiate instruction to accommodate the diverse learning needs, interests, and abilities of students, including those with special needs
* Utilize technology and digital resources, such as data visualization tools, GIS (Geographic Information Systems), and online databases, to enhance instruction, engage students, and facilitate learning about environmental science.
* Assess student learning and progress through a variety of formative and summative assessments, including quizzes, tests, laboratory reports, projects, and presentations.
* Provide timely and constructive feedback to students to help them understand their strengths and areas for improvement and guide their academic growth and development.
* Maintain accurate, thorough, and diversified records of student progress
* Participate in team meetings, workshops, and other learning opportunities
* Perform miscellaneous job-related duties as assigned",Environment / Environment Science,1,1,job description requires environmental science background
