Job Title,Job Title Generic Description,Request Name,Request Name Description,Department,# of Volunteers,Gender Preference,Skills/Keywords,Add'l Skills,Languages
Access Control,"Responsible for managing and monitoring systems to regulate access to facilities, data, and resources. Implements policies, maintains security protocols, and ensures compliance with organizational standards to protect assets and information. Supports troubleshooting, audits, and updates to improve security measures and access management efficiency.",Ashram Programs - Access Control - 2514,Coordinate Ashram Program check-in at different places and give participants & volunteers program wristband,IYC Programs / Ashram Programs,6,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,
Access Control,"Responsible for managing and monitoring systems to regulate access to facilities, data, and resources. Implements policies, maintains security protocols, and ensures compliance with organizational standards to protect assets and information. Supports troubleshooting, audits, and updates to improve security measures and access management efficiency.",Ashram Programs - Access Control - 2515,"Program volunteering coordination
To handle front office and enroll volunteers for program through calls & email",IYC Programs / Ashram Programs,2,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,
Access Control,"Responsible for managing and monitoring systems to regulate access to facilities, data, and resources. Implements policies, maintains security protocols, and ensures compliance with organizational standards to protect assets and information. Supports troubleshooting, audits, and updates to improve security measures and access management efficiency.",Security - Access Control - 2794,ashram security management,Security,3,Any,Office Assistant / Admin Assistant Others / Army Soft Skills / Articulate in communication Basic Computer Skills / Basic Computer (MS Office and Email) Skills Others / CRPF/ BSF IT / Cloud Architect IT / Cyber Security Analyst IT / IT - Others Others / Navy,,Tamil English (US) Hindi / हिंदी Albanian / Shqip
Access Control,"Responsible for managing and monitoring systems to regulate access to facilities, data, and resources. Implements policies, maintains security protocols, and ensures compliance with organizational standards to protect assets and information. Supports troubleshooting, audits, and updates to improve security measures and access management efficiency.",Ashram Administration - Access Control - 2838,"Supporting for access tag issuing, store, Preparing study reports and recommendations - tag / visitors' pass system, infra, security verification, pedestrian and vehicles access, Preparing IT requirements",Ashram Administration,4,Any,Office Assistant / Admin Assistant IT / IT - Others,,English (UK)
Account Auditor,"Conducts detailed examinations of financial records and processes to ensure accuracy, compliance, and efficiency. Identifies discrepancies, evaluates internal controls, and prepares audit reports with actionable recommendations. Collaborates with stakeholders to enhance financial practices and mitigate risks.",Project Finance - Account Auditor - 2317,Preparing & Analysing Utilisation reports,Finance / Project Finance,2,Female,Accounting / Auditor,Soft Skills / Articulate in communication IT / Artificial Intelligence/ Machine Learning,Tamil English (US)
Account Auditor,"Conducts detailed examinations of financial records and processes to ensure accuracy, compliance, and efficiency. Identifies discrepancies, evaluates internal controls, and prepares audit reports with actionable recommendations. Collaborates with stakeholders to enhance financial practices and mitigate risks.",Farmer Producer Organisation (FPO) - Account Auditor - 2506,Process Auditor - Process Documentation and Audit process of all 24 FPOs,Farmer Producer Organisation (FPO),2,Any,Accounting / Auditor,,Tamil Kannada
Account Auditor,"Conducts detailed examinations of financial records and processes to ensure accuracy, compliance, and efficiency. Identifies discrepancies, evaluates internal controls, and prepares audit reports with actionable recommendations. Collaborates with stakeholders to enhance financial practices and mitigate risks.",Audit - Account Auditor - 2887,"Manage complete life cycle of Erp implementation which includes customizations,integration,support understanding of forms,fields and workflow",Audit,1,Any,Accounting / Chartered Accountant,Accounting / Auditor,English (US)
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations.",Foundation Finance - Accountant - 2276,"Manage complete lifecycle of ERP implementation starts from understanding the business processes of an organization till project management and designing of different phases of ERP implementation which includes - Customizations, integration, support, understanding of forms, fields, workflows etc.",Finance / Foundation Finance,4,Any,Accounting / Chartered Accountant,Accounting / Basic Accountancy,English (US)
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations.",Project Finance - Accountant - 2315,Preparing & Analysing the reports,Finance / Project Finance,2,Male,Soft Skills / Soft-spoken and cordial,Accounting / Basic Accountancy Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Tamil English (US)
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations.",Project Finance - Accountant - 2316,Donor Support,Finance / Project Finance,2,Male,Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Tamil English (US)
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations.",Project Finance - Accountant - 2318,Supporting in technical & admin aspects,Finance / Project Finance,2,Female,Accounting / Basic Accountancy,Environment / Agriculture/ Farmer Basic Computer Skills / Basic Computer (MS Office and Email) Skills,English (US) Tamil
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations.",Business Finance - Accountant - 2328,Basic accounting activities,Business Finance,1,Male,Accounting / Basic Accountancy,,Tamil
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations.",Vahanam - Accountant - 2335,For back office purpose,Vahanam,6,Any,Accounting / Basic Accountancy Basic Computer Skills / Basic Computer (MS Office and Email) Skills Accounting / Chartered Accountant,,
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations.",Gramotsavam - Accountant - 2382,"Basic Knowledge Persons-7 Nos, Skilled Persons-3 Nos",Outreach / Action For Rural Rejuvenation / Gramotsavam,10,Any,Accounting / Auditor Corporate / Bank Manager Basic Computer Skills / Basic Computer (MS Office and Email) Skills Accounting / Chartered Accountant Education / Commerce Teacher,,Tamil Kannada Telugu / తెలుగు Malayalam
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations.",Isha Health Solutions - Accountant - 2390,"Background in finance, verification of accounts and bills",Isha Health Solutions,1,Any,Accounting / Basic Accountancy Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations.",NP (Back Office) - Accountant - 2590,Handling of accounts with various region account in-charges and ashram finance team,Isha Programs and Communications / NP (Back Office),5,Any,Accounting / Basic Accountancy,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations.",NP (Back Office) - Accountant - 2593,MSR Accounts activity support in Data Entry,Isha Programs and Communications / NP (Back Office),4,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations.",Construction - LSP - Accountant - 2803,"Background in finance, verification of accounts and bills",Construction - LSP,1,Any,Accounting / Basic Accountancy,,
Accountant,"The Accountant manages financial records, prepares reports, handles tax compliance, and supports budgeting. Responsibilities include verifying accounts, processing transactions, and ensuring compliance with financial regulations. Proficiency in accounting software, attention to detail, and strong analytical skills are essential for maintaining accurate and efficient financial operations.",Bangalore Temple - Accountant - 2828,"Admin_BLR - Support in processing bills & vouchers, handling queries of inter departments including finance, vendor registration, Fixed Asset 

Good communication, MS office (esp. Excel)

Should have worked in accounts, handled bills, basic knowledge about GST",Bangalore Temple,1,Any,Accounting / Basic Accountancy,,
