SP ID,Work Experience/Company,Work Experience/Designation,Work Experience/Tasks,Work Experience/Industry,Education/Qualifications,Education/Specialization,Any Additional Skills,Computer Skills,Skills,Languages,Gender,Age,Work Experience/From Date,Work Experience/To Date,summary
623114,university of bridgeport,front desk assistant,['NA'],['HR and Admin'],Postgraduate,NA,NA,"i know little bit of python, can use ms word and basic computer use",Emedia / Active on Social Media,['Hindi / हिंदी (R W S T)'],Female,24.0,['2024-04-29'],['NA'],"
Participant 623114 has the following work experience: A HR and Admin in the industry doing NA tasks.
They have the following qualifications: Postgraduate in NA.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
i know little bit of python, can use ms word and basic computer use and know the following languages: Hindi / हिंदी (R W S T).
The participant is a Female and 24.0 years old.
"
621593,Strzala architects,Part 1 architectural assistant,"['3d modelling, 2d drawings, client meetings and site visits', '3d modelling, making presentations , 2D drawings check']","['Architecture', 'Architecture']",Bachelor of Architecture (B.Arch),Architecture,NA,"I am proficient in Microsoft word, Autocad, Sketchup, Photoshop and Indesign",Emedia / Active on Social Media,['English (UK) (R W S T)'],Male,23.0,"['2022-08-17', '2024-01-02']","['2023-08-15', '2024-07-25']","
Participant 621593 has the following work experience: A Architecture in the industry doing 3d modelling, 2d drawings, client meetings and site visits tasks for 12 months. A Architecture in the industry doing 3d modelling, making presentations , 2D drawings check tasks for 6 months.
They have the following qualifications: Bachelor of Architecture (B.Arch) in Architecture.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
I am proficient in Microsoft word, Autocad, Sketchup, Photoshop and Indesign and know the following languages: English (UK) (R W S T).
The participant is a Male and 23.0 years old.
"
621290,Aker Solutions,Planning Engineer,"['1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team.', '1) Coordination with the sub-contractors & vendors for the delivery & execution of work at site. (2) Ordering & Delivery of Structural Steel as per the scope. (3) Performing Technical Bid Evaluation for the identified subcontractors. (4) Reconciliation of construction materials. (5) Traking of overall procurement status, from dispatch to billing at site. (6) Raising Claims (7) Preparing of L3 Baseline Schedule. (8) Preparing & Monitroing Weekly & Monthly Progress Reports']","['Construction and Engineering', 'Construction and Engineering']",Postgraduate,Post Graduate Programme - Advanced Construction Management,NA,"Microsoft Excel, Word, Powerpoint Presentation, Microsoft Project, Primavera (P6), Power BI (Beginner)",Construction & Fabrication / Civil Engineer,"['English (IN) (R W S T)', 'Hindi / हिंदी (R W S T)']",Female,30.0,"['2023-04-17', '2019-07-01']","['NA', '2023-03-31']","
Participant 621290 has the following work experience: A Construction and Engineering in the industry doing 1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team. tasks. A Construction and Engineering in the industry doing 1) Coordination with the sub-contractors & vendors for the delivery & execution of work at site. (2) Ordering & Delivery of Structural Steel as per the scope. (3) Performing Technical Bid Evaluation for the identified subcontractors. (4) Reconciliation of construction materials. (5) Traking of overall procurement status, from dispatch to billing at site. (6) Raising Claims (7) Preparing of L3 Baseline Schedule. (8) Preparing & Monitroing Weekly & Monthly Progress Reports tasks for 44 months.
They have the following qualifications: Postgraduate in Post Graduate Programme - Advanced Construction Management.
They have the following skills: Construction & Fabrication / Civil Engineer and NA and computer skill 
Microsoft Excel, Word, Powerpoint Presentation, Microsoft Project, Primavera (P6), Power BI (Beginner) and know the following languages: English (IN) (R W S T).Hindi / हिंदी (R W S T).
The participant is a Female and 30.0 years old.
"
620894,Sardar Patel hospital,Consultant Orthopedic surgeon,"['To run the department of Orthopedic surgery', 'Clinical and academic post']","['Healthcare', 'Medical']",Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.),Orthopedics,NA,"1. Basic Computer Literacy 
Operating systems: Familiarity with Windows, macOS, or Linux. 
File management: Organizing, saving, and finding files using folders and directories. 
Keyboard shortcuts: Using shortcuts for efficiency (e.g., Ctrl+C for copy, Ctrl+V for paste). 
2. Word Processing 
Proficiency in Microsoft Word, Google Docs, or similar programs for creating, editing, and formatting documents. 
Ability to use features like tables, headers/footers, and text formatting tools. 
3. Spreadsheets 
Understanding of Microsoft Excel or Google Sheets for data entry, creating formulas, generating charts, and analyzing data. 
Knowledge of basic functions like SUM, AVERAGE, VLOOKUP, and PivotTables. 
4. Email and Communication Tools 
Using email clients (Outlook, Gmail) for effective communication and file sharing. 
Familiarity with scheduling tools like Google Calendar, Microsoft Outlook, or Zoom for meetings. 
5. Internet Skills 
Navigating web browsers (Chrome, Firefox, Safari) and performing searches using search engines. 
Knowledge of online safety practices, including recognizing phishing scams and using strong passwords. 
6. Presentation Software 
Creating presentations with Microsoft PowerPoint, Google Slides, or similar tools. 
Understanding of visual design principles for clear, engaging presentations (e.g., using appropriate fonts, colors, and layouts). 
7. Social Media and Collaboration Tools 
Basic knowledge of platforms like LinkedIn, Facebook, Twitter, or Instagram. 
Familiarity with collaboration tools like Slack, Trello, or Asana for team projects and communication. 
8. Basic Troubleshooting and Maintenance 
Ability to solve simple technical problems like software errors, slow performance, and network issues. 
Knowledge of antivirus software and how to maintain system security. 
9. Cloud Storage and File Sharing 
Familiarity with cloud storage platforms like Google Drive, Dropbox, or OneDrive for storing, sharing, and collaborating on files.",Emedia / Active on Social Media,"['Gujarati / ગુજરાતી (R  S )', 'English (UK) (R W S T)', 'Hindi / हिंदी (R W S T)', 'Sanskrit (R W S )']",Male,34.0,"['2019-06-21', '2017-08-01']",['2018-06-15'],"
Participant 620894 has the following work experience: A Healthcare in the industry doing To run the department of Orthopedic surgery tasks for -12 months.
They have the following qualifications: Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.) in Orthopedics.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
1. Basic Computer Literacy 
Operating systems: Familiarity with Windows, macOS, or Linux. 
File management: Organizing, saving, and finding files using folders and directories. 
Keyboard shortcuts: Using shortcuts for efficiency (e.g., Ctrl+C for copy, Ctrl+V for paste). 
2. Word Processing 
Proficiency in Microsoft Word, Google Docs, or similar programs for creating, editing, and formatting documents. 
Ability to use features like tables, headers/footers, and text formatting tools. 
3. Spreadsheets 
Understanding of Microsoft Excel or Google Sheets for data entry, creating formulas, generating charts, and analyzing data. 
Knowledge of basic functions like SUM, AVERAGE, VLOOKUP, and PivotTables. 
4. Email and Communication Tools 
Using email clients (Outlook, Gmail) for effective communication and file sharing. 
Familiarity with scheduling tools like Google Calendar, Microsoft Outlook, or Zoom for meetings. 
5. Internet Skills 
Navigating web browsers (Chrome, Firefox, Safari) and performing searches using search engines. 
Knowledge of online safety practices, including recognizing phishing scams and using strong passwords. 
6. Presentation Software 
Creating presentations with Microsoft PowerPoint, Google Slides, or similar tools. 
Understanding of visual design principles for clear, engaging presentations (e.g., using appropriate fonts, colors, and layouts). 
7. Social Media and Collaboration Tools 
Basic knowledge of platforms like LinkedIn, Facebook, Twitter, or Instagram. 
Familiarity with collaboration tools like Slack, Trello, or Asana for team projects and communication. 
8. Basic Troubleshooting and Maintenance 
Ability to solve simple technical problems like software errors, slow performance, and network issues. 
Knowledge of antivirus software and how to maintain system security. 
9. Cloud Storage and File Sharing 
Familiarity with cloud storage platforms like Google Drive, Dropbox, or OneDrive for storing, sharing, and collaborating on files. and know the following languages: Gujarati / ગુજરાતી (R  S ).English (UK) (R W S T).Hindi / हिंदी (R W S T).Sanskrit (R W S ).
The participant is a Male and 34.0 years old.
"
620699,BSNL,Tele infra provider,"['BSNL broadband, banking leased circuit, all FTTH networking', 'Counselling for admission and placement']","['Telecom', 'Marketing']",Diploma,Electrical,"fiber optic slicing , networking. ","Networking, FTTH, fiber optic, LAN WAN, ROUTING, SWITCH, MS OFFICE,",General / Telecom,['English (IN) (R W S T)'],Male,34.0,"['2016-08-16', '2014-03-12']","['NA', '2015-04-08']","
Participant 620699 has the following work experience: A Telecom in the industry doing BSNL broadband, banking leased circuit, all FTTH networking tasks. A Marketing in the industry doing Counselling for admission and placement tasks for 13 months.
They have the following qualifications: Diploma in Electrical.
They have the following skills: General / Telecom and fiber optic slicing , networking.  and computer skill 
Networking, FTTH, fiber optic, LAN WAN, ROUTING, SWITCH, MS OFFICE, and know the following languages: English (IN) (R W S T).
The participant is a Male and 34.0 years old.
"
620674,Aditya Birla Management Corporation Pvt Ltd,Senior Product Manager - Group Data & Analytics,"['Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals', 'Building App for teacher engagement & dashboard for district Education officers, IT solutioning and budgeting', 'Evaluating strategic (add-ons) opportunities and program managing digital corporate digital strategy', 'Designing, developing & testing features for android apps, front-end & backend development using PHP frameworks for enabling payments', 'Design, develop and test front-end and back-end features for an e-commerce website selling cosmetics online and beauty salons listing']","['Supply Chain', 'Teaching', 'Banking and Financial Services', 'Banking and Financial Services', 'Retail']",Master of Business Administration (M.B.A.),Food & Agribusiness Management,NA,"Excel, Power Point, Word, Python coding, Figma UI design",Emedia / Active on Social Media,"['English (IN) (R W S T)', 'Hindi / हिंदी (R W S T)', 'Marathi (R W S T)']",Male,35.0,"['2022-02-08', '2020-04-15', '2018-05-01', '2015-02-02', '2013-10-01']","['2020-04-14', '2016-05-25', '2014-08-31', '2014-08-31']","
Participant 620674 has the following work experience: A Supply Chain in the industry doing Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals tasks for -22 months. A Teaching in the industry doing Building App for teacher engagement & dashboard for district Education officers, IT solutioning and budgeting tasks for -47 months. A Banking and Financial Services in the industry doing Evaluating strategic (add-ons) opportunities and program managing digital corporate digital strategy tasks for -45 months. A Banking and Financial Services in the industry doing Designing, developing & testing features for android apps, front-end & backend development using PHP frameworks for enabling payments tasks for -6 months.
They have the following qualifications: Master of Business Administration (M.B.A.) in Food & Agribusiness Management.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Excel, Power Point, Word, Python coding, Figma UI design and know the following languages: English (IN) (R W S T).Hindi / हिंदी (R W S T).Marathi (R W S T).
The participant is a Male and 35.0 years old.
"
620302,NA,NA,['NA'],['NA'],Undergraduate,Physics,NA,No,Emedia / Active on Social Media,['English (IN) (R W S T)'],Male,19.0,['NA'],['NA'],"
Participant 620302 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: Undergraduate in Physics.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
No and know the following languages: English (IN) (R W S T).
The participant is a Male and 19.0 years old.
"
619890,NA,NA,['NA'],['NA'],Bachelor - Other,Pharmacy Practice,NA,"PowerPoint, ms word",Emedia / Active on Social Media,"['English (US) (R W S T)', 'Hindi / हिंदी (R W  )']",Male,21.0,['NA'],['NA'],"
Participant 619890 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: Bachelor - Other in Pharmacy Practice.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
PowerPoint, ms word and know the following languages: English (US) (R W S T).Hindi / हिंदी (R W  ).
The participant is a Male and 21.0 years old.
"
619827,info guild technologies Pvt Ltd,Deployment co-ordinator,['to operate our app & to give sales pitching to clients'],['IT'],NA,NA,NA,basic,Emedia / Active on Social Media,"['Telugu / తెలుగు (R W S T)', 'Hindi / हिंदी (R W S T)', 'English (IN) (R W S T)']",Male,24.0,['2024-02-26'],['NA'],"
Participant 619827 has the following work experience: A IT in the industry doing to operate our app & to give sales pitching to clients tasks.
They have the following qualifications: NA in NA.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
basic and know the following languages: Telugu / తెలుగు (R W S T).Hindi / हिंदी (R W S T).English (IN) (R W S T).
The participant is a Male and 24.0 years old.
"
619678,Department of Posts,Grameen Daak Sevak Branch Post Master ( GDS BPM ),"['I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds.']",['Banking and Financial Services'],Bachelor of Science (B.Sc),Zoology Hons,NA,"I can do basic document, video editing. Can use basic creative software and can learn computer skills fast. *NO CODING SKILLS*",Emedia / Active on Social Media,"['Bengali / বাংলা (R W S T)', 'English (IN) (R W S T)', 'Hindi / हिंदी (R  S T)']",Male,22.0,['2022-08-02'],['NA'],"
Participant 619678 has the following work experience: A Banking and Financial Services in the industry doing I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds. tasks.
They have the following qualifications: Bachelor of Science (B.Sc) in Zoology Hons.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
I can do basic document, video editing. Can use basic creative software and can learn computer skills fast. *NO CODING SKILLS* and know the following languages: Bengali / বাংলা (R W S T).English (IN) (R W S T).Hindi / हिंदी (R  S T).
The participant is a Male and 22.0 years old.
"
